"SKName","tDate","Institute","交易類別","金額"
"臺指選擇權CALL","2015-01-16","前十大交易特定法人","買","15256.0"
"臺指選擇權CALL","2015-01-19","前十大交易特定法人","買","15256.0"
"臺指選擇權CALL","2015-01-20","前十大交易特定法人","買","21472.0"
"臺指選擇權CALL","2015-01-21","前十大交易特定法人","買","5666.0"
"臺指選擇權CALL","2015-01-22","前十大交易特定法人","買","8828.0"
"臺指選擇權CALL","2015-01-14","前十大交易特定法人","賣","0.0"
"臺指選擇權CALL","2015-01-15","前十大交易特定法人","賣","0.0"
"臺指選擇權CALL","2015-01-16","前十大交易特定法人","賣","0.0"
"臺指選擇權CALL","2015-01-19","前十大交易特定法人","賣","0.0"
"臺指選擇權CALL","2015-01-20","前十大交易特定法人","賣","0.0"
"臺指選擇權CALL","2015-01-21","前十大交易特定法人","賣","4142.0"
"臺指選擇權CALL","2015-01-22","前十大交易特定法人","賣","2232.0"
"臺指選擇權CALL","2015-01-14","前十大交易非特定法人","買","56275.0"
"臺指選擇權CALL","2015-01-15","前十大交易非特定法人","買","71374.0"
"臺指選擇權CALL","2015-01-16","前十大交易非特定法人","買","69679.0"
"臺指選擇權CALL","2015-01-19","前十大交易非特定法人","買","73074.0"
"臺指選擇權CALL","2015-01-20","前十大交易非特定法人","買","64162.0"
"臺指選擇權CALL","2015-01-21","前十大交易非特定法人","買","43532.0"
"臺指選擇權CALL","2015-01-22","前十大交易非特定法人","買","49312.0"
